"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FARP1",6.95118143122862e-194,0.477542031156001,0.514,0.054,1.5191111899807e-189,"10","FARP1"
"ARF6",8.22393188849433e-194,0.354523848859354,0.568,0.065,1.79725807491155e-189,"10","ARF6"
"CARD19",1.13012615962369e-193,0.381870402313126,0.29,0.017,2.46977770924162e-189,"10","CARD19"
"ETS2",2.87682842773644e-193,0.56770897987584,0.529,0.056,6.28702084597522e-189,"10","ETS2"
"TMEM2192",3.43715266270724e-193,0.540961090225049,0.637,0.082,7.5115534290804e-189,"10","TMEM219"
"IER22",6.614512922533e-193,0.792647108473752,0.849,0.132,1.44553565409036e-188,"10","IER2"
"PUM1",1.43728101881968e-192,0.608544095635485,0.548,0.062,3.14103393852852e-188,"10","PUM1"
"AC010422.3",8.44314497339652e-192,0.293603350137485,0.351,0.026,1.84516490248607e-187,"10","AC010422.3"
"CYB5R31",9.00147990218389e-192,0.751549088164221,0.768,0.119,1.96718341782327e-187,"10","CYB5R3"
"SRSF91",1.36878610975792e-191,0.485922820717474,0.707,0.1,2.99134516426496e-187,"10","SRSF9"
"HYAL2",1.4214733909159e-191,0.430708686001277,0.301,0.019,3.10648794850761e-187,"10","HYAL2"
"DUOXA2",2.12478778422008e-191,1.50599544085989,0.394,0.032,4.64351122363456e-187,"10","DUOXA2"
"RBMS2",3.23142660935093e-191,0.360377132095445,0.259,0.014,7.06195971207552e-187,"10","RBMS2"
"UGP2",4.65365880769508e-191,0.46126541701163,0.425,0.038,1.01701059583368e-186,"10","UGP2"
"SNX10",1.6827406448617e-190,0.46103815223392,0.34,0.024,3.67746140528077e-186,"10","SNX10"
"AP2M12",1.900275971514e-190,0.631527637252748,0.622,0.079,4.1528631081467e-186,"10","AP2M1"
"HNRNPA0",1.98242365838762e-190,0.378369859105781,0.683,0.093,4.33238866304031e-186,"10","HNRNPA0"
"UBE2E1",2.56307086847566e-190,0.438073313338448,0.421,0.037,5.60133507596671e-186,"10","UBE2E1"
"AGPAT21",3.01663683893521e-190,0.444252047648382,0.587,0.071,6.592558147809e-186,"10","AGPAT2"
"WBP21",3.23517638212866e-190,0.499516150654984,0.541,0.061,7.07015446550398e-186,"10","WBP2"
"EEF1D1",4.35165256996012e-190,0.633995346685709,0.788,0.122,9.51010152639085e-186,"10","EEF1D"
"PGLS",5.57027963034748e-190,0.433970244433488,0.344,0.025,1.21732891041614e-185,"10","PGLS"
"CEBPD2",8.97062149160157e-190,1.12080617009002,0.629,0.082,1.96043962077461e-185,"10","CEBPD"
"PDIA4",9.63562289454044e-190,0.482322325441865,0.517,0.056,2.10576902737287e-185,"10","PDIA4"
"PCBP22",1.26074894265971e-189,0.606454516355538,0.722,0.105,2.75524073928853e-185,"10","PCBP2"
"COMT",1.87437657456512e-189,0.534916337820946,0.486,0.05,4.09626256605462e-185,"10","COMT"
"PKP3",1.27316666306845e-188,0.349443232504919,0.375,0.03,2.7823784254698e-184,"10","PKP3"
"EPHX11",2.50610248188348e-188,0.594917215066588,0.51,0.055,5.47683636390815e-184,"10","EPHX1"
"HEXIM1",2.50611484505764e-188,0.471673944883332,0.351,0.026,5.47686338238898e-184,"10","HEXIM1"
"FGD6",2.80943112313474e-188,0.451995299884289,0.293,0.018,6.13973077649866e-184,"10","FGD6"
"PPP1R13L",3.74044716802273e-188,0.542511547647104,0.363,0.028,8.17437324099687e-184,"10","PPP1R13L"
"ZMIZ1",6.21624331715883e-188,0.465621332981712,0.405,0.035,1.35849781453189e-183,"10","ZMIZ1"
"SYNGR2",1.0918979800645e-187,0.594108941313559,0.768,0.118,2.38623384563295e-183,"10","SYNGR2"
"S100A61",1.51680595853733e-187,1.99392143485741,0.934,0.187,3.31482774178748e-183,"10","S100A6"
"AP000902.12",1.76813855640346e-187,0.917917139845845,0.737,0.11,3.86409000116411e-183,"10","AP000902.1"
"ENAH",4.61993951104698e-187,0.664658384066423,0.51,0.055,1.00964158074421e-182,"10","ENAH"
"DNPH1",5.2794743128943e-187,0.493377969237647,0.417,0.037,1.15377631633992e-182,"10","DNPH1"
"EPCAM2",7.1195131828726e-187,0.983980240951104,0.892,0.154,1.55589841098498e-182,"10","EPCAM"
"TMEM98",8.75592872169023e-187,0.439635829425061,0.367,0.029,1.91352066283818e-182,"10","TMEM98"
"CTNNAL1",1.78825732393054e-186,0.31969873014583,0.29,0.018,3.90805755571781e-182,"10","CTNNAL1"
"NOP532",3.24570301204232e-186,0.747440653659467,0.734,0.11,7.0931593625173e-182,"10","NOP53"
"SLC39A1",4.96657763594102e-186,0.548172814923059,0.664,0.091,1.08539587655855e-181,"10","SLC39A1"
"COX6B1",6.53850738657211e-186,0.557733967269408,0.726,0.108,1.42892540426147e-181,"10","COX6B1"
"UBE2I",8.00973806304264e-186,0.507179711024711,0.579,0.071,1.75044815629734e-181,"10","UBE2I"
"TMEM371",2.10000157141875e-185,0.575359779939633,0.432,0.04,4.58934343417854e-181,"10","TMEM37"
"HIP1R1",2.37406119370813e-185,0.588882745398316,0.405,0.036,5.18827333272974e-181,"10","HIP1R"
"STARD102",3.42861884466078e-185,0.709318501049927,0.475,0.05,7.49290362312167e-181,"10","STARD10"
"RALGAPA2",5.71274977844471e-185,0.444993016888075,0.367,0.029,1.24846433658131e-180,"10","RALGAPA2"
"CPM1",6.80116761981547e-185,0.746326504382039,0.529,0.061,1.48632717163447e-180,"10","CPM"
"CHMP4B",1.68359455339017e-184,0.559575012735516,0.764,0.119,3.67932753697887e-180,"10","CHMP4B"
"VWA11",2.06426052996294e-184,0.722149357135335,0.718,0.106,4.51123496218101e-180,"10","VWA1"
"CHD2",3.38978073953506e-184,0.487560828270032,0.44,0.042,7.40802682817991e-180,"10","CHD2"
"VAT11",3.57889282782044e-184,0.770296134396041,0.683,0.099,7.82131238591878e-180,"10","VAT1"
"ARHGDIA",3.59185351861759e-184,0.507204277034019,0.587,0.073,7.84963667958687e-180,"10","ARHGDIA"
"NR2F2",9.71697436067583e-184,0.439204491321818,0.266,0.015,2.1235475767821e-179,"10","NR2F2"
"PDCD6IP",1.22244780079876e-183,0.379355538795809,0.44,0.042,2.67153742386562e-179,"10","PDCD6IP"
"RPN21",2.12847334023894e-183,0.644373457444942,0.494,0.053,4.65156563775819e-179,"10","RPN2"
"UQCR112",9.67619358232595e-183,0.736377126742959,0.645,0.088,2.11463534548151e-178,"10","UQCR11"
"FAM107B",1.02483457438889e-182,0.397665937768838,0.402,0.035,2.23967347886947e-178,"10","FAM107B"
"EIF4E2",1.04709759978882e-182,0.398524573222531,0.382,0.032,2.28832709457849e-178,"10","EIF4E2"
"FUNDC21",1.81054125043974e-182,0.683389524312013,0.645,0.089,3.95675684871102e-178,"10","FUNDC2"
"UBE2L6",2.01640315486381e-182,0.351012690218254,0.27,0.016,4.40664745463936e-178,"10","UBE2L6"
"ARID1A1",2.63850762730912e-182,0.696987761760049,0.556,0.068,5.76619456872134e-178,"10","ARID1A"
"COX7C2",3.12272214712258e-182,1.15918671859293,0.938,0.177,6.82439698032168e-178,"10","COX7C"
"SYNE21",3.1892616578716e-182,0.430498781905472,0.579,0.071,6.9698124271126e-178,"10","SYNE2"
"ADI1",6.41871536643894e-182,0.465386688279606,0.328,0.024,1.40274605618157e-177,"10","ADI1"
"ALAD",1.08286353102225e-181,0.424743073763138,0.278,0.017,2.36648996069603e-177,"10","ALAD"
"SERPINB1",1.16847974184496e-181,0.724154527665277,0.61,0.08,2.55359562782798e-177,"10","SERPINB1"
"LPP3",1.23558934216992e-181,1.03031048537146,0.788,0.134,2.70025694837814e-177,"10","LPP"
"STC1",1.35015973884464e-181,0.369941914084215,0.255,0.014,2.95063909327107e-177,"10","STC1"
"GCNT3",1.58792675124997e-181,0.587698154460306,0.324,0.023,3.47025512218167e-177,"10","GCNT3"
"RNF5",1.63041254483911e-181,0.306929148178714,0.409,0.037,3.5631035754914e-177,"10","RNF5"
"EIF3E1",1.63102988843336e-181,0.658736983995249,0.645,0.089,3.56445271818226e-177,"10","EIF3E"
"SDCBP",3.1125962374785e-181,0.512523477282292,0.602,0.078,6.80226781738551e-177,"10","SDCBP"
"DAG1",4.2759539866555e-181,0.424166633906102,0.463,0.047,9.34466984243694e-177,"10","DAG1"
"OLA1",4.52829037222745e-181,0.396789003372437,0.467,0.048,9.89612577946588e-177,"10","OLA1"
"GRINA1",5.08088802662871e-181,0.552660314267728,0.629,0.085,1.11037726933944e-176,"10","GRINA"
"FOS2",5.93544345127866e-181,1.39079246580864,0.834,0.145,1.29713181184244e-176,"10","FOS"
"PAIP1",8.21786434368529e-181,0.521004177911107,0.405,0.037,1.79593207366898e-176,"10","PAIP1"
"TMEM87B",9.33423040657508e-181,0.387308173447969,0.351,0.027,2.03990271305292e-176,"10","TMEM87B"
"MBD2",1.47356841531627e-180,0.434713834904279,0.382,0.032,3.22033641483218e-176,"10","MBD2"
"TRIM28",1.89420166920324e-180,0.466068571413916,0.552,0.067,4.13958832787677e-176,"10","TRIM28"
"LAMA5",2.42755568594616e-180,0.485428667792562,0.347,0.027,5.30518019606673e-176,"10","LAMA5"
"RAB5C1",3.2624349978821e-180,0.611692197159522,0.591,0.077,7.12972544437154e-176,"10","RAB5C"
"PXN",4.09582827771573e-180,0.460864010682254,0.425,0.04,8.95102311811996e-176,"10","PXN"
"HIGD2A1",4.106237280237e-180,0.459631279833694,0.568,0.07,8.97377095222994e-176,"10","HIGD2A"
"GAPDHP353",4.17666318296993e-180,0.962963889414941,0.753,0.118,9.12767972006248e-176,"10","GAPDHP35"
"GNG12",4.82153558554063e-180,0.354023387845311,0.517,0.058,1.05369838686405e-175,"10","GNG12"
"PPP4C",4.82752537592781e-180,0.500822643508214,0.324,0.024,1.05500739565526e-175,"10","PPP4C"
"NEDD4L",5.9329345539107e-180,0.574817068534153,0.409,0.038,1.29658351741164e-175,"10","NEDD4L"
"CYB5A",8.21766382546574e-180,0.510132140349329,0.541,0.064,1.79588825241728e-175,"10","CYB5A"
"PTMA3",8.35063521201711e-180,1.5225688042649,0.938,0.195,1.82494781923422e-175,"10","PTMA"
"RAP2B",9.13528570420178e-180,0.516551574317644,0.305,0.021,1.99642533779626e-175,"10","RAP2B"
"MAP2K3",1.31632211407004e-179,0.453601170187126,0.328,0.024,2.87669034808867e-175,"10","MAP2K3"
"PTPN12",1.33950412074891e-179,0.407427284821351,0.263,0.015,2.92735230548467e-175,"10","PTPN12"
"CDC42BPB1",1.90795503436144e-179,0.580636380162726,0.375,0.032,4.1696449320935e-175,"10","CDC42BPB"
"SLC25A37",2.85707119878524e-179,0.547646296593971,0.556,0.068,6.24384339782527e-175,"10","SLC25A37"
"KLF3",4.6423385877604e-179,0.501653461996263,0.309,0.021,1.01453667496916e-174,"10","KLF3"
"LGALS3BP2",6.79233693838618e-179,0.782625066334713,0.772,0.125,1.48439731451491e-174,"10","LGALS3BP"
"PDLIM4",6.98207596074247e-179,0.561012296220276,0.429,0.041,1.52586288046066e-174,"10","PDLIM4"
"MPZL1",9.70247750965147e-179,0.392934018691202,0.44,0.043,2.12037943495923e-174,"10","MPZL1"
"TLE1",1.04426645286309e-178,0.514538255446299,0.359,0.029,2.282139906087e-174,"10","TLE1"
"CAP11",1.39123633948492e-178,0.608703106685926,0.703,0.106,3.04040789631035e-174,"10","CAP1"
"HS6ST1",2.40932671520356e-178,0.54806262351212,0.297,0.02,5.26534260340586e-174,"10","HS6ST1"
"ECH11",2.73175975084062e-178,0.495593566261275,0.575,0.073,5.9699877594871e-174,"10","ECH1"
"SORBS2",3.5195004424957e-178,0.69672207665234,0.579,0.074,7.6915162670301e-174,"10","SORBS2"
"PNP",5.99954107572845e-178,0.358051184772527,0.29,0.019,1.31113970668969e-173,"10","PNP"
"SHB",6.50936959611081e-178,0.393582576807386,0.371,0.031,1.42255763153406e-173,"10","SHB"
"FKBP82",9.61901264792907e-178,0.679146764082037,0.618,0.084,2.10213902407842e-173,"10","FKBP8"
"ERO1A",5.26756757487781e-177,1.05732657392879,0.741,0.117,1.1511742178138e-172,"10","ERO1A"
"BCKDK",5.79900105979494e-177,0.35242449496216,0.429,0.041,1.26731369160759e-172,"10","BCKDK"
"CTDSPL",6.12703358075316e-177,0.509068172057508,0.363,0.03,1.3390019187378e-172,"10","CTDSPL"
"KPNB11",8.05142325922029e-177,0.533528364208756,0.753,0.118,1.75955803907e-172,"10","KPNB1"
"GAS5",1.33808099576698e-176,0.538241628423426,0.718,0.109,2.92424220814916e-172,"10","GAS5"
